@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "15/07/20"
@ TIME             %08s "13.35.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "BTV.410406"        "INSTRUMENT"               252.0376979               0.35                  0       -2528.575243        2401.800423        4323.057513       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_50"          "DRIFT"                    252.8926979       0.8550000182                  0       -2529.337264        2401.800575        4322.669766       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "MBG.410408"        "RBEND"                    259.1927147        6.300016764        -0.00799133       -2534.963531        2401.801697        4319.835136       -2.033500098    0.0001780000449  -2.515530051e-005   7.693623134e-007          0          0                  0                  0 ""                 
 "DRIFT_51"          "DRIFT"                    259.7627146       0.5699999364                  0       -2535.473595        2401.801798        4319.580706       -2.033500098    0.0001780000449  -2.515530051e-005  -2.515530051e-005          0          0                  0                  0 ""                 
 "MBG.410422"        "RBEND"                    266.0627314        6.300016764        -0.00799133       -2541.122334         2401.80292        4316.791128       -2.025508768    0.0001780011251  -2.657776951e-005   8.463994856e-007          0          0                  0                  0 ""                 
 "DRIFT_52"          "DRIFT"                    266.6327314       0.5700000364                  0       -2541.634415        2401.803021        4316.540782       -2.025508768    0.0001780011251  -2.657776951e-005  -2.657776951e-005          0          0                  0                  0 ""                 
 "MBG.410436"        "RBEND"                    272.9327482        6.300016764        -0.00799133       -2547.305266        2401.804143        4313.796434       -2.017517438    0.0001780028287  -2.800024964e-005   9.244304857e-007          0          0                  0                  0 ""                 
 "DRIFT_53"          "DRIFT"                    273.5027482       0.5700000364                  0       -2547.819331        2401.804244        4313.550188       -2.017517438    0.0001780028287  -2.800024964e-005  -2.800024964e-005          0          0                  0                  0 ""                 
 "MBG.410450"        "RBEND"                     279.802765        6.300016764        -0.00799133       -2553.511931        2401.805365        4310.851244       -2.009526107     0.000178001161   -2.94227299e-005   5.025503624e-007          0          0                  0                  0 ""                 
 "DRIFT_54"          "DRIFT"                    280.2977649       0.4949999182                  0       -2553.960051        2401.805453        4310.640973       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "QTGD.410500"       "QUADRUPOLE"               282.4977649                2.2                  0       -2555.951693        2401.805845        4309.706435       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_55"          "DRIFT"                    282.6577649               0.16                  0        -2556.09654        2401.805874        4309.638469       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "BPM.410505"        "VMONITOR"                 282.9077649               0.25                  0       -2556.322863        2401.805918        4309.532272       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_56"          "DRIFT"                    282.9877649               0.08                  0       -2556.395286        2401.805932        4309.498288       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "MDGV.410506"       "VKICKER"                  283.5357649              0.548                  0       -2556.891386         2401.80603        4309.265503       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "DRIFT_57"          "DRIFT"                    284.1927649       0.6570000182                  0       -2557.486163        2401.806147        4308.986417       -2.009526107     0.000178001161   -2.94227299e-005   -2.94227299e-005          0          0                  0                  0 ""                 
 "MBG.410508"        "RBEND"                    290.4927817        6.300016764        -0.00799133        -2563.20015        2401.807268         4306.33305       -2.001534777    0.0001780001168  -3.084519934e-005   5.805700954e-007          0          0                  0                  0 ""                 
 "DRIFT_58"          "DRIFT"                    291.0627817       0.5700000364                  0       -2563.718085         2401.80737        4306.095051       -2.001534777    0.0001780001168  -3.084519934e-005  -3.084519934e-005          0          0                  0                  0 ""                 
 "MBG.410522"        "RBEND"                    297.3627985        6.300016764        -0.00799133       -2569.453093        2401.808491        4303.487432       -1.993543447    0.0001779996962  -3.226766291e-005   6.586006644e-007          0          0                  0                  0 ""                 
 "DRIFT_59"          "DRIFT"                    297.9327984       0.5699999364                  0       -2569.972913        2401.808593        4303.253579       -1.993543447    0.0001779996962  -3.226766291e-005  -3.226766291e-005          0          0                  0                  0 ""                 
 "MBG.410536"        "RBEND"                    304.2328152        6.300016764        -0.00799133       -2575.728576        2401.809714        4300.691873       -1.985552117    0.0001779998993  -3.369012562e-005   7.366370861e-007          0          0                  0                  0 ""                 
 "DRIFT_60"          "DRIFT"                    304.8028152       0.5700000364                  0       -2576.250249        2401.809815        4300.462182       -1.985552117    0.0001779998993  -3.369012562e-005  -3.369012562e-005          0          0                  0                  0 ""                 
 "MBG.410550"        "RBEND"                     311.102832        6.300016764        -0.00799133       -2582.026199        2401.810937        4297.946552       -1.977560787    0.0001780007267  -3.511259245e-005   8.147743773e-007          0          0                  0                  0 ""                 
 "DRIFT_61"          "DRIFT"                     311.597832       0.4950000182                  0        -2582.48081        2401.811025         4297.75071       -1.977560787    0.0001780007267  -3.511259245e-005  -3.511259245e-005          0          0                  0                  0 ""                 
 "QTGF.410600"       "QUADRUPOLE"                313.797832                2.2                  0       -2584.501303        2401.811417        4296.880302       -1.977560787    0.0001780007267  -3.511259245e-005  -3.511259245e-005          0          0                  0                  0 ""                 
 "DRIFT_62"          "DRIFT"                     314.287832               0.49                  0       -2584.951321        2401.811504        4296.686439       -1.977560787    0.0001780007267  -3.511259245e-005  -3.511259245e-005          0          0                  0                  0 ""                 
