@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_34"          "DRIFT"                     181.498047       0.5700000364                  0       -2466.797521        2401.787867        4357.091334       -2.113413399    0.0001780034115  -1.093052947e-005  -1.093052947e-005          0          0                  0                  0 ""                 
 "MBG.410161"        "RBEND"                    187.7980638        6.300016764        -0.00799133       -2472.205546        2401.788988         4353.85973       -2.105422069    0.0001780022825  -1.235301654e-005   5.699705316e-007          0          0                  0                  0 ""                 
 "DRIFT_35"          "DRIFT"                    188.2930638       0.4950000182                  0       -2472.631473        2401.789076        4353.607518       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "QTGF.410200"       "QUADRUPOLE"               190.4930638                2.2                  0       -2474.524484        2401.789468        4352.486576       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_36"          "DRIFT"                    190.6530638               0.16                  0       -2474.662157        2401.789497        4352.405053       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "BPM.410205"        "MONITOR"                  190.9030638               0.25                  0       -2474.877272        2401.789541        4352.277673       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_37"          "DRIFT"                    190.9830638               0.08                  0       -2474.946109        2401.789555        4352.236911       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "MDGH.410206"       "HKICKER"                  191.5310638              0.548                  0       -2475.417641        2401.789653        4351.957695       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_38"          "DRIFT"                    192.1880638       0.6570000182                  0       -2475.982962         2401.78977        4351.622941       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "MBG.410208"        "RBEND"                    198.4880806        6.300016764        -0.00799133       -2481.416639        2401.790891        4348.434657       -2.097430739     0.000178001769  -1.377549706e-005   6.469834553e-007          0          0                  0                  0 ""                 
 "DRIFT_39"          "DRIFT"                    199.0580805       0.5699999364                  0       -2481.909406        2401.790993         4348.14816       -2.097430739     0.000178001769  -1.377549706e-005  -1.377549706e-005          0          0                  0                  0 ""                 
